audit_id	sentence_id	source_file	stratum	j1_label	j2_label	j3_label	gold_final	audit_label	audit_decision	audit_rationale	text
A11	BLK_Q3-2025.txt#0000416	BLK_Q3-2025.txt	substantive|boilerplate|boilerplate|substantive	substantive	boilerplate	boilerplate	substantive	substantive	keep	Specific fiduciary, private-markets, target-date, and analytics commentary.	As Larry said, like good fiduciary practice and all of the advice safe harbors, they're going to require some format for benchmarking and portfolio analysis like DC plan sponsors and their consultants are going to need more data and analytics to support a fiduciary decision that involves private markets and target date portfolios.
A12	C_Q3-2025.txt#0000476	C_Q3-2025.txt	substantive|boilerplate|boilerplate|substantive	substantive	boilerplate	boilerplate	substantive	substantive	keep	Specific exposure/category commentary about private credit.	It includes private credit, but it is very broad.
A13	FAST_Q3-2024.txt#0000097	FAST_Q3-2024.txt	substantive|boilerplate|boilerplate|substantive	substantive	boilerplate	boilerplate	substantive	substantive	keep	Specific named digital-solutions organization and leadership detail.	And those 3 pieces are under the umbrella now of our FMI digital solutions within Fastenal and Jeff Hicks, along -- a 30-plus year employee leads that charge.
A14	FAST_Q3-2025.txt#0000291	FAST_Q3-2025.txt	substantive|boilerplate|boilerplate|substantive	substantive	boilerplate	boilerplate	substantive	substantive	keep	Market-condition commentary.	Clearly, the broader market conditions remain sluggish.
A15	JPM_Q2-2025.txt#0000402	JPM_Q2-2025.txt	substantive|boilerplate|boilerplate|substantive	substantive	boilerplate	boilerplate	substantive	substantive	ambiguous_keep	Pipeline commentary; terse but business-specific.	On the conversation about the noticeably upbeat robust pipelines.
A16	NVDA_Q3-2025.txt#0000328	NVDA_Q3-2025.txt	substantive|boilerplate|boilerplate|substantive	substantive	boilerplate	boilerplate	substantive	substantive	keep	Product/platform strategy around CUDA and NVIDIA architecture.	Everybody knows that if they innovate on top of CUDA and top of NVIDIA's architecture, they can innovate more quickly and they know that everything should work.
A17	BLK_Q1-2025.txt#0000314	BLK_Q1-2025.txt	substantive|boilerplate|substantive|boilerplate	substantive	boilerplate	substantive	boilerplate	substantive	correct_to_substantive	Business footprint growth statement.	And so if anything, our footprint continues to grow.
A18	C_Q1-2024.txt#0000296	C_Q1-2024.txt	substantive|boilerplate|substantive|boilerplate	substantive	boilerplate	substantive	boilerplate	substantive	correct_to_substantive	Strategy around competitiveness in private capital.	You will likely see us seeking to remain competitive in the private capital asset class.
A19	FDX_Q4-2025.txt#0000344	FDX_Q4-2025.txt	substantive|boilerplate|substantive|boilerplate	substantive	boilerplate	substantive	boilerplate	boilerplate	ambiguous_keep	Vague pattern-change sentence without concrete subject or metric.	So the patterns are changing as we speak.
A20	GS_Q1-2025.txt#0000025	GS_Q1-2025.txt	substantive|boilerplate|substantive|boilerplate	substantive	boilerplate	substantive	boilerplate	boilerplate	keep	Market-condition caveat about execution; safe-harbor-like.	That being said, our ability to execute on these transactions will, of course, be dependent on market conditions.
A21	GS_Q1-2026.txt#0000241	GS_Q1-2026.txt	substantive|boilerplate|substantive|boilerplate	substantive	boilerplate	substantive	boilerplate	substantive	correct_to_substantive	References balance sheet growth.	So is that to some degree is consistent with the growth in the balance sheet.
A22	NKE_Q2-2025.txt#0000027	NKE_Q2-2025.txt	substantive|boilerplate|substantive|boilerplate	substantive	boilerplate	substantive	boilerplate	substantive	correct_to_substantive	Operational/channel commentary about consumer retail experience.	Together, we walked the high streets and shopping malls of those cities to see how consumers are experiencing our brand at retail.
A23	AMD_Q4-2024.txt#0000047	AMD_Q4-2024.txt	substantive|boilerplate|substantive|substantive	substantive	boilerplate	substantive	substantive	substantive	keep	Specific customer/site launch and product `MI300A`.	Earlier this month, the high-performance computer center at the University of Stuttgart, launched the Hunter supercomputer that also uses MI300A.
A24	C_Q1-2024.txt#0000117	C_Q1-2024.txt	substantive|boilerplate|substantive|substantive	substantive	boilerplate	substantive	substantive	substantive	keep	Risk appetite, deposits, liabilities, and asset-quality commentary.	Over the last several years, we've maintained a strong risk appetite framework and have been very deliberate about how we deploy our deposits and other liabilities into high-quality assets.
A25	FAST_Q3-2024.txt#0000022	FAST_Q3-2024.txt	substantive|boilerplate|substantive|substantive	substantive	boilerplate	substantive	substantive	substantive	ambiguous_keep	Terse operating-capability statement; kept substantive under ambiguity rule.	We honed the skill incredibly during COVID.
A26	GS_Q4-2025.txt#0000172	GS_Q4-2025.txt	substantive|boilerplate|substantive|substantive	substantive	boilerplate	substantive	substantive	substantive	keep	Specific wealth-management and ultra-high-net-worth strategy question.	And I want to include in that, if you could, your aspirations, meaning we had a little experiment with United Capital, but like you're amazing in ultra-high net worth, and I'm curious about the rest of wealth.
A27	INTC_Q4-2023.txt#0000354	INTC_Q4-2023.txt	substantive|boilerplate|substantive|substantive	substantive	boilerplate	substantive	substantive	substantive	keep	Accelerator-market commentary.	Clearly, that's been an accelerator market so far.
A28	NKE_Q3-2026.txt#0000298	NKE_Q3-2026.txt	substantive|boilerplate|substantive|substantive	substantive	boilerplate	substantive	substantive	substantive	keep	Portfolio/channel strategy for serving consumers.	That is the strength of NIKE is when we're able to have a portfolio of places that we serve consumers.
A29	AVGO_Q1-2025.txt#0000295	AVGO_Q1-2025.txt	substantive|substantive|boilerplate|boilerplate	substantive	substantive	boilerplate	boilerplate	boilerplate	ambiguous_keep	Generic focus statement; no concrete program, number, market, or product in sentence.	So I mean that's a huge focus of the company.
A30	AVGO_Q4-2025.txt#0000201	AVGO_Q4-2025.txt	substantive|substantive|boilerplate|boilerplate	substantive	substantive	boilerplate	boilerplate	substantive	correct_to_substantive	Guidance timing statement.	But we're not -- I mean we'll guide closer to the end of the year for that.
A31	C_Q3-2024.txt#0000480	C_Q3-2024.txt	substantive|substantive|boilerplate|boilerplate	substantive	substantive	boilerplate	boilerplate	substantive	correct_to_substantive	Concrete timing clarification across 2025 and 1Q 2026.	So I think that means, by the end of '25, you're talking about 1Q '26, but that was kind of my clarification question on that.
A32	FDX_Q3-2025.txt#0000492	FDX_Q3-2025.txt	substantive|substantive|boilerplate|boilerplate	substantive	substantive	boilerplate	boilerplate	substantive	correct_to_substantive	Named operating program (`DRIVE`) as process commentary.	We've enshrined DRIVE as the way we work.
A33	GS_Q1-2025.txt#0000372	GS_Q1-2025.txt	substantive|substantive|boilerplate|boilerplate	substantive	substantive	boilerplate	boilerplate	substantive	correct_to_substantive	Global client engagement commentary.	At the moment, all over the world, clients are extremely engaged with the firm.
A34	NVDA_Q4-2026.txt#0000220	NVDA_Q4-2026.txt	substantive|substantive|boilerplate|boilerplate	substantive	substantive	boilerplate	boilerplate	substantive	correct_to_substantive	Revenue timing/measurement commentary.	Again, we're trying to look at revenue quarter-by-quarter.
A35	BLK_Q4-2023.txt#0000189	BLK_Q4-2023.txt	substantive|substantive|boilerplate|substantive	substantive	substantive	boilerplate	substantive	substantive	keep	Specific capital-access claim.	BlackRock has already demonstrated our access to some of the largest pools of capital in the world.
A36	BLK_Q4-2024.txt#0000033	BLK_Q4-2024.txt	substantive|substantive|boilerplate|substantive	substantive	substantive	boilerplate	substantive	substantive	keep	Client portfolio-consolidation strategy.	Clients want to consolidate more of their portfolios with a partner that's with them for the long term.
A37	GS_Q4-2025.txt#0000214	GS_Q4-2025.txt	substantive|substantive|boilerplate|substantive	substantive	substantive	boilerplate	substantive	substantive	keep	Target-setting/firm elevation strategy statement.	But we're not going to set targets until we're very comfortable that we further elevated the firm.
A38	INTC_Q4-2025.txt#0000039	INTC_Q4-2025.txt	substantive|substantive|boilerplate|substantive	substantive	substantive	boilerplate	substantive	substantive	keep	Specific Intel manufacturing process.	And build on our most advanced Intel 18A manufacturing process.
A39	NVDA_Q2-2025.txt#0000344	NVDA_Q2-2025.txt	substantive|substantive|boilerplate|substantive	substantive	substantive	boilerplate	substantive	substantive	keep	AI factory supply/platform requirement commentary.	It's not possible to come up with a new AI factory every year unless you have all the parts.
A40	NVDA_Q4-2025.txt#0000322	NVDA_Q4-2025.txt	substantive|substantive|boilerplate|substantive	substantive	substantive	boilerplate	substantive	substantive	keep	Material market-size number.	And today, there's 1 billion cars on the road.
